id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
21302,the OCEAN HAVEN - pet-friendly,81292,Laurel & Sue,,Surf Coast,-38.46329,144.09163,Entire home/apt,800,2,51,2023-01-18,0.43,3,365,0,
27561,Executive residence peaceful locale,119103,Lynn,,Surf Coast,-38.34221,144.30398,Entire home/apt,500,5,2,2022-04-18,0.03,2,87,0,
70449,Otway foothills retreat,357052,Craig And Tim,,Colac Otway,-38.32982,143.82842,Entire home/apt,277,1,59,2024-06-09,0.51,1,320,7,
84516,Sea-Lit - luxury plus stunning ocean views,462049,David,,Moyne,-38.39149,142.22084,Entire home/apt,470,2,152,2024-06-09,1.22,1,256,18,
195168,Historic House with Sea Views,899909,Tony,,Surf Coast,-38.54025,143.97139,Entire home/apt,600,2,32,2024-05-19,0.21,1,345,4,
291691,BH Sleepout,1511087,Kim,,Greater Geelong,-38.27942,144.49073,Entire home/apt,79,2,88,2024-04-21,0.59,2,279,17,
372470,"Charleson Farm - rural escape, breathtaking views",1875131,Charleson,,Surf Coast,-38.33816,144.02221,Entire home/apt,724,2,220,2024-06-26,2.07,2,304,32,
403682,"Satis Beach House, Great Ocean Road
Linen provided",246509,Fiona,,Surf Coast,-38.465721,144.099136,Entire home/apt,399,2,187,2024-04-02,1.23,1,116,2,
479888,Riverbank Cottage Allenvale,2377195,Charles,,Surf Coast,-38.54855,143.95517,Entire home/apt,600,2,75,2023-05-22,0.74,6,220,0,
488344,"Seahaven,  a room with a view",2416415,Lise,,Surf Coast,-38.46413,144.09497,Entire home/apt,133,2,303,2024-05-19,3.08,2,245,40,
488599,Stunning City Townhouse,2417695,Darren And Yolanda,,Greater Geelong,-38.15406,144.35685,Entire home/apt,228,1,279,2024-01-28,2.12,5,279,1,
606687,Beach House - A Perfect Sea View,3005560,John & Suzy,,Queenscliffe,-38.2825,144.61339,Entire home/apt,257,2,371,2024-06-09,2.58,1,194,28,
675196,Self-contained downstairs apartment in Geelong,3429566,Jo,,Greater Geelong,-38.12033,144.35596,Entire home/apt,140,1,263,2024-06-16,2.07,1,194,29,
697087,Magic Apartment + Views@83 GREAT OCEAN ROAD Lorne,3570625,Kim,,Surf Coast,-38.527565,143.982712,Entire home/apt,470,3,159,2024-06-10,1.13,4,113,16,
765554,Fairhaven Retreat-Great Ocean Road,4036595,Irene,,Surf Coast,-38.46616,144.08272,Entire home/apt,230,2,139,2023-06-25,0.99,1,168,0,
785467,Beachside Entertainer - Apollo Bay,4140800,Stuart,,Colac Otway,-38.77916,143.66466,Entire home/apt,170,1,266,2024-05-20,1.91,1,314,41,
841336,Sweet Dreams at Lara,4393951,Janita,,Greater Geelong,-38.01528,144.40169,Private room,250,1,22,2022-12-18,0.18,1,364,0,
847397,Ultimate Beachfront Retreat -Incredible Views,459921,Lorraine,,Surf Coast,-38.5301,143.98119,Entire home/apt,300,2,70,2024-05-19,0.50,3,177,7,
850562,Beach House Apartment Eastern Beach,2417695,Darren And Yolanda,,Greater Geelong,-38.1471,144.37349,Entire home/apt,190,1,166,2024-03-27,1.30,5,310,5,
853375,Point Lonsdale Beach House,4456031,Fiona,,Queenscliffe,-38.27055,144.61555,Entire home/apt,195,3,69,2024-05-20,0.59,1,290,5,
858408,AWESOME STUDIO - Stunning Sea Views,459921,Lorraine,,Surf Coast,-38.53829,143.97,Entire home/apt,300,3,82,2024-03-31,0.60,3,177,2,
859859,Dazzling Views - Supreme Position!,459921,Lorraine,,Surf Coast,-38.53829,143.97,Entire home/apt,479,2,123,2024-04-01,0.89,3,176,7,
890837,Bells Beach Views,4731549,Marian,,Surf Coast,-38.35578,144.28283,Private room,195,1,232,2024-04-01,1.67,1,322,14,
902612,Forrest River Valley Bed and Breakfast Studio,4824121,Carol,,Colac Otway,-38.51377971730205,143.72836109667642,Entire home/apt,240,2,24,2023-01-07,0.18,2,81,0,
911101,Wilkin cottage,4888844,Sharon,,Glenelg,-37.70711,141.21131,Entire home/apt,175,2,206,2024-02-23,1.52,1,351,19,
921687,Grampians Historic Tobacco Kiln,4955998,Karen,,Southern Grampians,-37.66715,142.2236,Entire home/apt,193,1,167,2024-04-27,1.24,3,322,10,
943123,WWW(WarmWarrnamboolWelcome),5102281,Helen (Sophie),,Warrnambool,-38.38613,142.5142,Private room,160,1,293,2024-06-09,2.12,1,328,34,
1002120,Heart of Torquay!,5511143,Trish,,Surf Coast,-38.32433,144.325,Private room,,2,65,2020-12-31,0.51,1,0,0,
1037178,Great Ocean Road Hinterland Queen Room 1,5709920,Lisa,,Colac Otway,-38.57084,143.36134,Entire home/apt,200,2,114,2024-06-11,0.83,3,334,5,
1113236,"Family Beach House, Ocean Grove - Brisa Del Mar",6109815,Dale,,Greater Geelong,-38.270938873291016,144.51719665527344,Entire home/apt,262,2,29,2024-04-05,0.23,1,340,4,
1124773,Bellamboathouse at Fairhaven,6154547,Chris,,Surf Coast,-38.46346,144.09438,Entire home/apt,264,2,81,2024-04-01,0.63,1,24,9,
1168873,Airey's Inlet Beach-house,6401049,Alison,,Surf Coast,-38.45819,144.11411,Entire home/apt,414,2,97,2024-06-10,0.73,1,158,12,
1180734,Lorne Penthouse - stunning water views,4549647,Zora,,Surf Coast,-38.54783,143.9852,Entire home/apt,389,3,50,2024-01-21,0.43,1,302,1,
1247085,Seagrape Cottage,5732565,Christine,,Greater Geelong,-38.26207,144.52366,Entire home/apt,152,3,189,2024-06-09,1.41,1,157,14,
1261097,Ocean Sounds Spectacular Ocean View,6398917,Tanja,,Colac Otway,-38.723026,143.711792,Entire home/apt,800,5,6,2018-01-25,0.05,2,47,0,
1261290,Portland Vic Aust Cape Nelson Retreat,3046272,Trevor And Laima,,Glenelg,-38.38733,141.5529,Private room,,1,247,2020-03-09,1.86,1,0,0,
1285297,Fisheye9 - Ocean views and sounds!,6398917,Tanja,,Colac Otway,-38.72303,143.71179,Entire home/apt,209,1,256,2024-06-21,1.94,2,222,35,
1289208,Hopkins River Homestead,4647935,Lisa,,Warrnambool,-38.393594084539664,142.59388239395565,Entire home/apt,295,1,35,2024-05-03,0.28,3,264,6,
1332982,Anglesea Holiday Home - Sleeps 8!,7230673,Belinda,,Surf Coast,-38.40787,144.1956,Entire home/apt,261,2,363,2024-06-10,2.78,1,162,39,
1341747,Airey's on Hartley- Great Ocean Rd,7277677,Tim,,Surf Coast,-38.45555,144.11513,Entire home/apt,329,2,227,2024-05-02,1.73,1,320,5,
1384375,La Perouse - Small hotel by the sea,81292,Laurel & Sue,,Surf Coast,-38.54131,143.97026,Private room,450,2,57,2024-01-03,0.51,3,64,2,
1434583,Golfview Lorne,7710444,Brook,,Surf Coast,-38.52946,143.9739,Entire home/apt,434,2,133,2024-06-12,1.07,1,280,17,
1500112,Workers Playtime House Barwon Heads,8016448,Glenn,,Greater Geelong,-38.27656,144.49008,Entire home/apt,557,2,8,2021-04-16,0.08,2,359,0,
1504804,"4 Bed, 2 Living Room Home overlooking Tree Tops",8040161,Claire,,Surf Coast,-38.40489,144.18174,Entire home/apt,750,7,24,2024-01-27,0.19,1,25,4,
1532875,South Geelong Studio Apartment,901220,Carlo And Jeni,,Greater Geelong,-38.16312,144.36001,Entire home/apt,90,1,825,2024-06-23,9.06,1,287,98,
1544720,Casa Belvedere,5285153,Bianca,,Warrnambool,-38.39272529278881,142.50583168119192,Entire home/apt,643,2,11,2024-05-03,0.69,1,364,9,
1625193,"Barrabool Hills Retreat B&B, Vic.Q.2.",8641535,Lorelle,,Surf Coast,-38.19125,144.20375,Private room,90,1,190,2024-06-07,1.83,3,364,33,
1641677,Jindibah Bird Haven,8716182,Leanne,,Surf Coast,-38.45318,144.11095,Entire home/apt,189,2,78,2024-06-10,0.61,1,47,10,
1641891,Port Fairy Close to Beaches & Shops,3784933,Trish,,Moyne,-38.38333,142.23656,Entire home/apt,520,7,16,2023-03-12,0.14,1,185,0,
1664906,Cabin near the sea,8819052,Antonia,,Surf Coast,-38.45908,144.10488,Entire home/apt,,2,363,2023-06-04,2.89,1,0,0,
1673242,Ocean views and walk to the beach,57682242,Lana,,Colac Otway,-38.63268,143.88839,Entire home/apt,250,2,18,2020-03-08,0.18,1,349,0,
1693627,The Farmhouse - Historic Ocean View Homestead,8946631,Holly,,Corangamite,-38.590476,142.9875729,Entire home/apt,1300,1,15,2024-06-15,2.38,2,334,15,
1729314,Ample space in Surfers Dream room,119103,Lynn,,Surf Coast,-38.34341,144.30514,Private room,,2,1,2017-09-07,0.01,2,0,0,
1773818,Great Ocean Road Hinterland Queen Room 2,5709920,Lisa,,Colac Otway,-38.5725,143.36169,Entire home/apt,200,2,89,2024-04-26,0.68,3,333,5,
1848144,Captain's Quarters Apollo Bay,9653994,Heather,,Colac Otway,-38.76179,143.66715,Entire home/apt,139,2,897,2024-06-10,6.97,1,29,45,
1862897,Lonsdale Palms an elegant Heritage House,9692808,Susanne,,Queenscliffe,-38.27217,144.6203,Entire home/apt,731,2,16,2024-06-09,0.20,4,323,2,
1873599,Ruby cottage It's all here enjoy!,9692808,Susanne,,Queenscliffe,-38.2724,144.62351,Entire home/apt,516,2,26,2024-01-17,0.24,4,348,4,
1881674,Secluded luxury  Jade cottage,9692808,Susanne,,Queenscliffe,-38.27132,144.62256,Entire home/apt,351,1,50,2024-02-19,0.45,4,336,2,
1899302,"Two minutes to beach, river, cafes!",2066864,Christine,,Greater Geelong,-38.28331,144.49102,Entire home/apt,441,2,95,2024-04-01,0.75,1,325,6,
1966742,Traditional Farm Cottage by River,10158581,Ivy,,Glenelg,-37.70146,141.24917,Entire home/apt,180,2,64,2024-04-11,0.57,1,340,9,
2012468,Great Ocean Road: Wonderful Views,10353886,Jeremy,,Colac Otway,-38.63374,143.88637,Entire home/apt,291,2,266,2024-05-20,2.08,1,353,16,
2039477,Barwon Heads Ozone Family Getaway,10462581,Jodie,,Greater Geelong,-38.27772,144.48941,Entire home/apt,700,2,13,2023-01-16,0.14,1,357,0,
2051277,SALT - steps from the beach and main st,10512132,Elizabeth,,Colac Otway,-38.75543,143.66827,Entire home/apt,271,2,209,2024-04-25,1.65,1,169,28,
2072393,Cocoon on the Great Ocean Road,5140385,Lisa,,Colac Otway,-38.68293,143.83572,Entire home/apt,200,3,364,2024-06-13,2.86,1,266,35,
2084690,"Ocean Grove, 4Bdrm home!!",10647271,Natalie,,Greater Geelong,-38.25785,144.51573,Entire home/apt,300,2,62,2024-04-01,0.49,1,83,3,
2088619,Bird Rock B&B - Self-contained room near the beach,10661100,Linda,,Surf Coast,-38.34886,144.30055,Private room,106,1,261,2024-06-12,2.05,1,360,27,
2105771,"Killala Retreat, Apollo Bay",8229302,Mark,,Colac Otway,-38.73448,143.6096,Entire home/apt,403,2,246,2024-06-17,2.07,1,178,25,
2120809,Seacroft Room 7 - Twin beds - AMAZING LOCATION,10814850,Sam,,Colac Otway,-38.69521,143.80223,Private room,95,1,126,2024-04-01,0.99,27,31,12,
2121190,Seacroft Room 8 - Three beds - AMAZING LOCATION,10814850,Sam,,Colac Otway,-38.69561,143.80229,Private room,99,1,271,2024-04-02,2.12,27,30,4,
2121859,Seacroft Room 16 - Queen bed - AMAZING LOCATION,10814850,Sam,,Colac Otway,-38.69515,143.80206,Private room,75,1,162,2024-03-29,1.28,27,30,7,
2121891,Seacroft Room 14 - double bed - STUNNING LOCATION,10814850,Sam,,Colac Otway,-38.6951,143.802,Private room,,1,125,2024-03-31,0.98,27,0,5,
2121917,Seacroft Room 13 - King - Amazing location,10814850,Sam,,Colac Otway,-38.69513,143.80211,Private room,75,1,364,2024-05-02,2.85,27,28,14,
2126134,Seacroft Room 9 - Queen Bed - AMAZING LOCATION,10814850,Sam,,Colac Otway,-38.69511,143.80206,Private room,95,1,124,2024-06-09,0.97,27,31,9,
2126154,Room 6 - stunning ocean views with farm and beach,10814850,Sam,,Colac Otway,-38.69494,143.80212,Private room,75,1,235,2024-06-09,1.84,27,27,37,
2136259,Keely Shae. Nice house in good position.,10902275,Darren,,Moyne,-38.38002,142.23015,Entire home/apt,220,2,126,2024-06-10,1.27,1,259,29,
2142372,Seacroft Room 2 - 3 beds - AMAZING LOCATION,10814850,Sam,,Colac Otway,-38.6951,143.80196,Private room,99,1,183,2024-03-29,1.43,27,26,12,
2142455,"Quiet, secluded - 3km from GPO",5038885,Robyn & Robert,,Warrnambool,-38.38577,142.45556,Entire home/apt,160,2,171,2024-03-01,1.34,1,88,3,
2156217,Lawson's Cottage,11004106,Noel And Joan,,Greater Geelong,-38.15818,144.35889,Entire home/apt,269,2,81,2024-04-07,0.66,1,353,7,
2156921,Farm Stay 10 mins from Port Fairy,11007504,Mary,,Moyne,-38.33295,142.3737,Entire home/apt,625,2,65,2023-01-20,0.51,1,78,0,
2160502,Ocean Grove Bright & Breezy!,4755363,Lori,,Greater Geelong,-38.26353,144.5168,Private room,150,2,141,2024-03-10,1.11,2,354,2,
2161648,Cosy self-contained bungalow,11030818,Virginia And Daniel,,Moyne,-38.37866,142.23117,Private room,73,2,440,2024-06-10,3.46,1,179,21,
2209882,BYRON@Portarlington,11272538,Belinda,,Greater Geelong,-38.12123,144.68975,Entire home/apt,390,2,17,2022-02-05,0.13,1,77,0,
2210140,Garland Cottage B and B,11273845,Rosie,,Southern Grampians,-37.74969,142.01989,Private room,164,2,110,2024-06-10,0.89,1,309,13,
2224983,Entire Seacroft Historic Ocean Front Guesthouse,10814850,Sam,,Colac Otway,-38.69511,143.80196,Private room,2499,2,141,2023-09-21,1.12,27,284,1,
2228443,Anglesea beach house - 3BR Sleeps 8,11372818,Robin,,Surf Coast,-38.41108,144.17754,Entire home/apt,300,3,135,2024-03-31,1.07,1,337,2,
2279363,Stable Door- The Spirit or Avalon - 10 minutes,6358765,Lorraine,,Greater Geelong,-38.02493,144.38209,Entire home/apt,170,1,259,2024-06-10,2.18,2,168,28,
2306213,Bed of Roses,11778616,Emily,,Colac Otway,-38.75958,143.66696,Entire home/apt,338,1,203,2024-05-02,1.60,1,55,23,
2332908,Nestled In The Bay 1 BEDRM Cottage,11915742,Melissa,,Colac Otway,-38.75233,143.6617,Entire home/apt,150,2,796,2024-06-11,6.30,1,136,67,
2333182,Otways Loft: Rare 3 Storey Cabin /Tree House.,7120658,Fleur,,Colac Otway,-38.519981384277344,143.71595764160156,Entire home/apt,414,2,150,2024-06-21,1.22,3,279,21,
2374635,Sommarhus Port Fairy,8861699,Andrea,,Moyne,-38.37894,142.22364,Entire home/apt,264,3,170,2024-05-03,1.69,1,181,13,
2406449,Seafarers Getaway Beach View Lodge,12300572,Warrick,,Colac Otway,-38.72908,143.69869,Entire home/apt,460,1,197,2024-04-20,1.56,8,174,18,
2406979,Seafarers Getaway Beach Studio Unit,12300572,Warrick,,Colac Otway,-38.72873,143.69428,Entire home/apt,299,1,227,2024-03-18,1.82,8,173,11,
2412626,Surfers Palace Torquay 1 min walk to beach,12330560,Bindy,,Surf Coast,-38.32072,144.3335,Entire home/apt,212,2,121,2024-06-10,0.98,2,89,7,
2415024,Chianti Cottages - Casa Giuliana,11181664,Calina,,Surf Coast,-38.35112,144.2899,Entire home/apt,243,1,262,2024-06-13,2.09,2,339,32,
2431526,Riders Palace Forrest on the Mt Bike Trails,12330560,Bindy,,Colac Otway,-38.5209,143.71773,Entire home/apt,265,2,58,2024-05-19,0.49,2,89,8,
2447960,Grampians View Bed & Breakfast,12269016,Eda,,Southern Grampians,-37.64678,142.34348,Private room,163,1,71,2024-04-26,0.65,1,153,14,
2455054,Seafarers Getaway Beach View Lodge #2,12300572,Warrick,,Colac Otway,-38.72854,143.69873,Entire home/apt,460,1,144,2024-05-19,1.15,8,174,4,
2479408,Flinders Park Cottage,12683575,Sally,,Glenelg,-38.33059,141.60266,Entire home/apt,270,2,77,2024-05-20,0.65,1,26,22,
2489742,Beach Retreat,2650414,Nereo,,Surf Coast,-38.46128,144.09277,Entire home/apt,439,2,196,2024-06-10,1.59,1,121,29,
2489908,Kiss Me Too Beach Shack clean comfortable & handy,2192322,Sara,,Surf Coast,-38.40863786530481,144.18245642212628,Entire home/apt,324,2,38,2024-01-28,0.78,1,344,4,
2489952,Studio apartment,12745318,Fay,,Greater Geelong,-38.26583,144.53609,Private room,130,1,322,2024-06-22,2.58,1,331,49,
2521462,Seaside Cottage - Kookaburra Wellness Retreat,7282388,"Mike, Lesley & Ebony",,Colac Otway,-38.71569,143.73016,Entire home/apt,385,1,89,2024-06-23,0.94,7,176,16,
2547671,Beach house in seaside village,13045850,Vicki,,Queenscliffe,-38.27679,144.61561,Entire home/apt,250,3,136,2024-04-07,1.09,1,176,7,
2620100,"Ocean Grove 12 bed house walk to Beach, Park & Pub",13417918,Andy,,Greater Geelong,-38.267967224121094,144.54624938964844,Entire home/apt,380,2,63,2024-01-10,0.50,1,229,2,
2645437,Daysy Hill Country Cottages - Spa Suite,13546459,Lauren,,Corangamite,-38.6079,143.0044,Private room,250,1,68,2024-04-29,0.59,9,357,5,
2645585,On Corsair Bed & Breakfast,13545834,Michelle,,Surf Coast,-38.31527,144.32495,Entire home/apt,260,1,425,2024-06-22,3.42,1,77,48,
2646156,Daysy Hill Country Cottages - Gumnut Cottage,13546459,Lauren,,Corangamite,-38.6079,143.0044,Entire home/apt,320,1,33,2024-01-26,0.29,9,329,2,
2678111,balinese inspired pavilion set in a secret garden,13712146,Toni,,Moyne,-38.37847,142.23159,Entire home/apt,170,2,149,2024-05-10,1.29,1,311,24,
2723415,The Shack,2416415,Lise,,Surf Coast,-38.45105,144.11452,Entire home/apt,400,2,5,2024-06-10,0.05,2,289,1,
2747998,Southern Ocean Villa 9,14059282,Christie,,Corangamite,-38.61935,142.99998,Entire home/apt,231,1,355,2024-06-12,2.99,1,356,42,
2788189,Murahnyi Break By The Sea,11466342,Cate,,Surf Coast,-38.30111,144.33915,Private room,130,2,160,2024-04-28,1.29,1,352,9,
2819087,#1 dog friendly OPPOSITE the BEACH,367737,Elizabeth,,Surf Coast,-38.33577,144.32396,Entire home/apt,316,2,26,2024-06-10,0.25,1,284,6,
2824938,Room 11 - Stunning ocean views with farm and beach,10814850,Sam,,Colac Otway,-38.69494,143.80187,Private room,128,1,167,2024-06-10,1.35,27,30,25,
2860771,Moggs beach house - Great Ocean Rd,470109,Theo,,Surf Coast,-38.46678,144.06243,Entire home/apt,257,2,266,2024-06-23,2.23,1,169,20,
2882780,Ocean Grove Bright & Breezy (Entire House),4755363,Lori,,Greater Geelong,-38.262935638427734,144.5177459716797,Entire home/apt,600,3,7,2024-01-28,0.06,2,349,2,
2888648,Surf Cottage - Luxury beach getaway,14761863,Stewart,,Greater Geelong,-38.269615,144.517853,Entire home/apt,225,2,94,2024-04-01,0.76,1,309,8,
2890561,Scully Mill Studios - Monet Suite (Unit for Two),14773690,Peter,,Colac Otway,-38.62878,143.89395,Entire home/apt,175,2,193,2024-05-20,1.57,3,339,20,
2909300,Bushland Retreat-experience nature,14863289,Helen,,Glenelg,-38.34893,141.49628,Entire home/apt,146,2,77,2024-06-09,0.66,1,180,4,
2980097,South Beach Haven - Luxury suite,1787580,Julia,,Surf Coast,-38.29776,144.3397,Entire home/apt,200,2,25,2023-04-09,0.24,2,301,0,
3013455,1960's Theme House /Lorne 30 min. /Pet Friendly),12940467,Arnie,,Colac Otway,-38.33862,143.78134,Entire home/apt,250,2,90,2024-06-16,0.76,1,330,9,
3033662,South Beach Haven Luxury Studio,1787580,Julia,,Surf Coast,-38.29558,144.33965,Entire home/apt,250,2,162,2024-04-28,1.38,2,297,12,
3135310,The Joneses Pet friendly 3 bedroom family home.,10800241,Leanne,,Warrnambool,-38.36928,142.47803,Entire home/apt,248,2,65,2024-06-09,0.63,1,89,9,
3148037,Beach house with great ocean views,12427664,Barbara,,Greater Geelong,-38.26493,144.53417,Entire home/apt,,10,146,2023-11-06,1.23,1,0,2,
3210536,One Bedroom Unit HARBOUR VIEWS,16266564,Leigh,,Glenelg,-38.34398,141.60617,Entire home/apt,190,1,99,2024-06-02,0.84,1,307,13,
3265095,Lorne Surfdogz -Luxury pet friendly,16311219,Steve,,Surf Coast,-38.52975,143.97779,Entire home/apt,180,2,340,2024-06-14,2.82,1,297,38,
3285485,"Pet Friendly - big backyard, close to beach, parks",16605212,Cormac,,Surf Coast,-38.34966,144.29741,Entire home/apt,,7,2,2016-01-24,0.02,1,0,0,
3292011,Bellbrae - 7 minutes to Bells Beach,16631392,Mike,,Surf Coast,-38.33259,144.21051,Entire home/apt,,2,17,2023-04-09,0.16,1,59,0,
3293889,Butlers Bend Holiday Villa,16357093,John,,Surf Coast,-38.46155,144.10313,Entire home/apt,300,2,65,2024-06-10,0.54,1,174,9,
3426146,Otway Fields - Near Brae Restaurant & Forrest,17271764,Ami,,Colac Otway,-38.466324,143.670319,Entire home/apt,307,1,63,2024-03-10,0.54,1,324,5,
3457520,3 - 4 bedroom in prime location WALK everywhere!,17424188,Hannah,,Surf Coast,-38.33498,144.31934,Entire home/apt,113,1,79,2024-06-16,0.66,2,339,48,
3468854,Queenscliff- Availability for school holidays.,17477637,Glenys,,Queenscliffe,-38.26682,144.65404,Entire home/apt,191,1,533,2024-06-25,4.40,1,292,58,
3515238,Cape Otway Retreat,17019721,Geoffrey,,Colac Otway,-38.8326,143.51453,Entire home/apt,189,2,28,2024-04-28,0.23,2,152,5,
3554227,Eighty Nine West Anglesea,17895331,Megan,,Surf Coast,-38.40449,144.19722,Entire home/apt,550,2,62,2024-03-31,0.52,1,339,3,
3566168,The Long House,9000700,Leigh,,Greater Geelong,-38.17465,144.34971,Entire home/apt,94,1,798,2024-05-27,8.87,6,62,58,
3629170,A Treehouse by the Seaside,18110185,Diarmuid,,Surf Coast,-38.53387,143.96831,Entire home/apt,310,2,122,2024-01-06,1.25,1,0,7,
3649008,SEAGULLS House in Queenscliff,18445503,Alissa And Graeme,,Queenscliffe,-38.27133,144.65396,Entire home/apt,351,2,77,2023-12-17,0.76,1,67,4,
3707303,Garden Cottage -  short walk to beach,18908758,Michelle,,Colac Otway,-38.75228,143.66934,Hotel room,253,1,620,2024-06-29,5.45,5,324,146,
3712196,Torquay The View on Grossman's,18943760,Dale,,Surf Coast,-38.31998,144.30406,Private room,207,1,0,,,1,365,0,
3741314,Seafarers Getaway Top Lodge,12300572,Warrick,,Colac Otway,-38.72844,143.69739,Entire home/apt,460,1,343,2024-05-12,2.86,8,172,33,
3776429,Anglesea Beach Bungalow,19365812,Chris,,Surf Coast,-38.41277,144.18449,Entire home/apt,295,6,43,2024-02-10,0.37,1,8,5,
3824522,Chardonnay Suite at rear homestead,16850161,Jennifer,,Southern Grampians,-37.77958,142.06978,Entire home/apt,163,1,94,2023-05-24,0.84,2,1,0,
3824622,Pinot Suite at Rear Homestead,16850161,Jennifer,,Southern Grampians,-37.77987,142.06923,Entire home/apt,153,1,65,2024-05-14,0.55,2,37,9,
3836766,Lobster on Barwon Modern Beachhouse,19723359,Ally,,Greater Geelong,-38.26537,144.49047,Entire home/apt,495,5,32,2023-04-10,0.27,1,363,0,
3844168,"""76MAIN""   -  Pet Friendly Cottage",19815049,Graeme,,Colac Otway,-38.33493,143.78143,Entire home/apt,220,2,201,2024-05-28,1.69,1,337,22,
3852887,The Gallery Bed and Breakfast,19814649,Penny,,Surf Coast,-38.32448,144.3244,Private room,180,1,3,2023-01-04,0.08,1,360,0,
3860971,"Lorne Holiday House, has Foxtel with Sport.",136202,Joyce,,Surf Coast,-38.52703,143.97588,Entire home/apt,543,2,73,2024-05-20,0.70,1,353,7,
3871383,Chianti Cottages - Casa Gian,11181664,Calina,,Surf Coast,-38.35011,144.29005,Entire home/apt,144,1,84,2024-03-02,0.70,2,355,11,
3898985,Perfect 3BD in Amazing Location with WIFI,3578710,Steven,,Surf Coast,-38.54285,143.96931,Entire home/apt,390,2,86,2024-05-20,0.73,2,309,5,
3917036,Anglesea - location location,20047059,Julianne,,Surf Coast,-38.40377,144.18803,Entire home/apt,350,2,56,2024-04-01,0.52,1,148,4,
3964558,Lorne Holiday House,20547636,Julie,,Surf Coast,-38.53238,143.97628,Entire home/apt,850,7,19,2022-10-30,0.16,3,220,0,
3965698,"Torquay Holiday House 
Anzac Day w/e special",20552780,Debra,,Surf Coast,-38.31499,144.33416,Entire home/apt,360,3,27,2024-04-01,0.23,1,90,2,
3972546,Small comfy room. Short or long stay. Msg me 1st!!,20589792,Hamish,,Greater Geelong,-38.09693,144.35813,Private room,,7,55,2023-05-28,0.46,1,0,0,
